Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Quantity,Sales,Profit Margin
Office Supplies,Houston,United States,Darren Powers,Message Book,2013-01-03,CA-2011-103800,77095.0,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,2013-01-03,Standard Class,Texas,Paper,0.2,1.0,6.0,2.0,16.0,0.38
Office Supplies,Naperville,United States,Phillina Ober,Avery,2013-01-04,CA-2011-112326,60540.0,Avery 508,Central,Home Office,2013-01-07,Standard Class,Illinois,Labels,0.2,1.0,4.0,3.0,12.0,0.33
Office Supplies,Naperville,United States,Phillina Ober,SAFCO,2013-01-04,CA-2011-112326,60540.0,SAFCO Boltless Steel Shelving,Central,Home Office,2013-01-08,Standard Class,Illinois,Storage,0.2,1.0,-65.0,3.0,273.0,-0.24
Office Supplies,Naperville,United States,Phillina Ober,GBC,2013-01-04,CA-2011-112326,60540.0,GBC Standard Plastic Binding Systems Combs,Central,Home Office,2013-01-08,Standard Class,Illinois,Binders,0.8,1.0,-5.0,2.0,4.0,-1.25
Office Supplies,Philadelphia,United States,Mick Brown,Avery,2013-01-05,CA-2011-141817,19143.0,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,2013-01-08,Standard Class,Pennsylvania,Art,0.2,1.0,5.0,3.0,20.0,0.25
Office Supplies,Los Angeles,United States,Unknown Customer,Xerox,2013-01-06,CA-2011-130813,90049.0,Xerox 225,West,Consumer,2013-01-12,Second Class,California,Paper,0.0,1.0,9.0,3.0,19.0,0.47
Office Supplies,Athens,United States,Jack Obriant,Dixon,2013-01-06,CA-2011-106054,30605.0,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,2013-01-08,First Class,Georgia,Art,0.0,1.0,5.0,3.0,13.0,0.38
Furniture,Henderson,United States,Maria Etezadi,Global,2013-01-06,CA-2011-167199,42420.0,Global Deluxe High-Back Manager's Chair,South,Home Office,2013-01-07,Standard Class,Kentucky,Chairs,0.0,1.0,746.0,9.0,2574.0,0.29
Office Supplies,Henderson,United States,Maria Etezadi,Ibico,2013-01-06,CA-2011-167199,42420.0,Ibico Hi-Tech Manual Binding System,South,Home Office,2013-01-10,Standard Class,Kentucky,Binders,0.0,1.0,274.0,2.0,610.0,0.45
Office Supplies,Henderson,United States,Maria Etezadi,Rogers,2013-01-06,CA-2011-167199,42420.0,Rogers Handheld Barrel Pencil Sharpener,South,Home Office,2013-01-10,Standard Class,Kentucky,Art,0.0,1.0,1.0,2.0,5.0,0.2
