Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Quantity,Sales
Office Supplies,Houston,United States,daRrEn powERs,Message Book,1/3/2013,CA-2011-103800,77095,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,Ship Date,Standard Class,Texas,Paper,20%,1,6,2,16
Office Supplies,Naperville,United States,PHilLIna obeR!,Avery,1/4/2013,CA-2011-112326,60540,Avery 508,Central,Home Office,1/7/2013,Standard Class,Illinois,Labels,20%,1,4,3,12
Office Supplies,Naperville,United States,PhilLinA oBEr!,SAFCO,1/4/2013,CA-2011-112326,60540,SAFCO Boltless Steel Shelving,Central,Home Office,1/8/2013,Standard Class,Illinois,Storage,20%,1,-65,3,273
Office Supplies,Naperville,United States,phiLliNA oBER,GBC,1/4/2013,CA-2011-112326,60540,GBC Standard Plastic Binding Systems Combs,Central,Home Office,1/8/2013,Standard Class,Illinois,Binders,80%,1,-5,2,4
Office Supplies,Philadelphia,United States,MICk broWn,Avery,1/5/2013,CA-2011-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,1/8/2013,Standard Class,Pennsylvania,Art,20%,1,5,3,20
Office Supplies,Los Angeles,United States,,Xerox,1/6/2013,CA-2011-130813,90049,Xerox 225,West,Consumer,1/12/2013,Second Class,California,Paper,0%,1,9,3,19
Office Supplies,Athens,United States,jACK o'bRianT,Dixon,1/6/2013,CA-2011-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,1/8/2013,First Class,Georgia,Art,0%,1,5,3,13
Furniture,Henderson,United States,MaRia EteZAdI34,Global,1/6/2013,CA-2011-167199,42420,Global Deluxe High-Back Manager's Chair,South,Home Office,1/7/2013,Standard Class,Kentucky,Chairs,0%,1,746,9,2574
Office Supplies,Henderson,United States,marIA EtezaDI,Ibico,1/6/2013,CA-2011-167199,42420,Ibico Hi-Tech Manual Binding System,South,Home Office,1/10/2013,Standard Class,Kentucky,Binders,0%,1,274,2,610
Office Supplies,Henderson,United States,MaRiA EteZaDi41,Rogers,1/6/2013,CA-2011-167199,42420,Rogers Handheld Barrel Pencil Sharpener,South,Home Office,1/10/2013,Standard Class,Kentucky,Art,0%,1,1,2,5
Technology,Henderson,United States,MaRiA etEzADi,GE,1/6/2013,CA-2011-167199,42420,GE 30524EE4,South,Home Office,1/10/2013,Standard Class,Kentucky,Phones,0%,1,114,2,392
Technology,Henderson,United States,MarIA ETEZadi51,Other,1/6/2013,CA-2011-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,Home Office,1/10/2013,Standard Class,Kentucky,Phones,0%,1,204,4,756
Office Supplies,Henderson,United States,maRia eTezaDI56!,Alliance,1/6/2013,CA-2011-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",South,Home Office,1/10/2013,Standard Class,Kentucky,Fasteners,0%,1,0,4,31
Office Supplies,Henderson,United States,mAriA EtEzadI,Southworth,1/6/2013,CA-2011-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,South,Home Office,1/10/2013,Standard Class,Kentucky,Paper,0%,1,3,1,7
Furniture,Huntsville,United States,VIVEK sUnDAResAm,Howard Miller,1/7/2013,CA-2011-105417,77340,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,1/10/2013,Standard Class,Texas,Furnishings,60%,1,-54,3,77
Office Supplies,Huntsville,United States,ViVEK SunDARESam,Acco,1/7/2013,CA-2011-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumer,1/12/2013,Standard Class,Texas,Binders,80%,1,-18,7,10
Office Supplies,Laredo,United States,MelanIE SeitE10,Newell,1/9/2013,CA-2011-135405,78041,Newell 312,Central,Consumer,1/12/2013,Standard Class,Texas,Art,20%,1,1,2,9
Technology,Laredo,United States,MELanIE SeiTe!,Memorex,,CA-2011-135405,78041,Memorex Micro Travel Drive 8 GB,Central,Consumer,,Standard Class,Texas,Accessories,20%,1,0,3,0
Office Supplies,Springfield,United States,anTHoNY jACoBS78,Avery,1/10/2013,CA-2011-149020,22153,Avery 482,South,Corporate,1/13/2013,Standard Class,Virginia,Labels,0%,1,1,1,3
